Train Dataset,Criterion,Depth,Train Acc.,Val Acc.,Val. Avg Rec,Val Avg. Prec,Val Avg. F1,Time Train,Time Val.
small,entropy,2,0.5200,0.3800,0.3800,0.3863,0.3677,0.009510,0.001003
small,entropy,4,0.6700,0.4275,0.4275,0.4437,0.4303,0.005508,0.001504
small,entropy,8,0.9500,0.3600,0.3600,0.3612,0.3603,0.005547,0.001001
small,entropy,,0.9800,0.3550,0.3550,0.3576,0.3560,0.006523,0.001003
small,gini,2,0.5500,0.4525,0.4525,0.4649,0.4493,0.017054,0.001008
small,gini,4,0.6700,0.4075,0.4075,0.4185,0.4076,0.007514,0.002080
small,gini,8,0.9300,0.3925,0.3925,0.3938,0.3911,0.006548,0.001038
small,gini,,0.9800,0.3725,0.3725,0.3727,0.3722,0.010546,0.000966
medium,entropy,2,0.4750,0.3925,0.3925,0.3031,0.3408,0.007485,0.001001
medium,entropy,4,0.5850,0.4450,0.4450,0.4397,0.4374,0.005541,0.001033
medium,entropy,8,0.8900,0.4400,0.4400,0.4433,0.4365,0.009546,0.001001
medium,entropy,,0.9850,0.4350,0.4350,0.4377,0.4353,0.008558,0.001001
medium,gini,2,0.4750,0.3925,0.3925,0.3031,0.3408,0.016080,0.000965
medium,gini,4,0.5950,0.4700,0.4700,0.4860,0.4416,0.009521,0.001996
medium,gini,8,0.8850,0.4550,0.4550,0.4564,0.4520,0.006274,0.001505
medium,gini,,0.9850,0.4325,0.4325,0.4337,0.4322,0.009516,0.000993
large,entropy,2,0.4350,0.4275,0.4275,0.3574,0.3717,0.011525,0.001522
large,entropy,4,0.5200,0.4825,0.4825,0.4891,0.4807,0.010737,0.002524
large,entropy,8,0.7750,0.4225,0.4225,0.4170,0.4154,0.009558,0.001000
large,entropy,,0.9650,0.4225,0.4225,0.4184,0.4159,0.007548,0.002006
large,gini,2,0.4225,0.3925,0.3925,0.4450,0.3752,0.016956,0.001037
large,gini,4,0.5350,0.5000,0.5000,0.5103,0.5036,0.009522,0.001000
large,gini,8,0.7875,0.4800,0.4800,0.4772,0.4776,0.006983,0.003016
large,gini,,0.9650,0.4450,0.4450,0.4463,0.4435,0.007519,0.002008
Very-Large,entropy,2,0.4600,0.4400,0.4400,0.3338,0.3781,0.018022,0.001001
Very-Large,entropy,4,0.5170,0.4700,0.4700,0.4725,0.4701,0.021043,0.001000
Very-Large,entropy,8,0.6615,0.5125,0.5125,0.5101,0.5022,0.023062,0.001070
Very-Large,entropy,,0.8850,0.4400,0.4400,0.4453,0.4415,0.023028,0.001000
Very-Large,gini,2,0.4600,0.4400,0.4400,0.3338,0.3781,0.024438,0.001001
Very-Large,gini,4,0.5275,0.4900,0.4900,0.4953,0.4880,0.020051,0.001996
Very-Large,gini,8,0.6625,0.4925,0.4925,0.4865,0.4827,0.022015,0.001033
Very-Large,gini,,0.8850,0.4200,0.4200,0.4234,0.4198,0.024560,0.001000
large,entropy,8,0.7750,0.4275,0.4275,0.4233,0.4206,0.011219,0.001001
large,entropy,8,0.7750,0.4275,0.4275,0.4233,0.4206,0.011219,0.000991
large,gini,,0.9650,0.4575,0.4575,0.4590,0.4573,0.010187,0.001000
large,gini,,0.9650,0.4575,0.4575,0.4590,0.4573,0.010187,0.001002
large,gini,,0.9650,0.4575,0.4575,0.4590,0.4573,0.010187,0.000000
medium,entropy,2,0.4750,0.3925,0.3925,0.3031,0.3408,0.006673,0.001000
large,entropy,,0.9650,0.4250,0.4250,0.4190,0.4184,0.010516,0.001000
large,entropy,8,0.7750,0.4275,0.4275,0.4233,0.4206,0.011219,0.001000
large,entropy,4,0.5200,0.4825,0.4825,0.4891,0.4807,0.008492,0.001000
large,entropy,2,0.4350,0.4275,0.4275,0.3574,0.3717,0.006594,0.001001
large,entropy,2,0.4350,0.4275,0.4275,0.3574,0.3717,0.006594,0.001002
large,gini,8,0.7875,0.4700,0.4700,0.4679,0.4672,0.009879,0.001000
large,gini,4,0.5350,0.5000,0.5000,0.5103,0.5036,0.008599,0.001001
large,gini,2,0.4225,0.3925,0.3925,0.4450,0.3752,0.007993,0.000993
large,gini,,0.9650,0.4575,0.4575,0.4590,0.4573,0.010187,0.000000
medium,gini,8,0.8850,0.4575,0.4575,0.4633,0.4547,0.006992,0.001000
medium,gini,,0.9850,0.4400,0.4400,0.4366,0.4362,0.007995,0.001000
