Train Dataset,N Trees,Depth,Train Acc.,Val Acc.,Val. Avg Rec,Val Avg. Prec,Val Avg. F1,Time Train,Time Val.
small,5,2,0.5700,0.4100,0.4100,0.3980,0.4004,0.012170,0.002032
small,5,4,0.6800,0.4675,0.4675,0.4604,0.4546,0.010515,0.003000
small,5,6,0.8700,0.3475,0.3475,0.3605,0.3476,0.010508,0.001912
small,10,2,0.6500,0.4125,0.4125,0.4102,0.4029,0.015551,0.001992
small,10,4,0.7800,0.4325,0.4325,0.4359,0.4329,0.015516,0.002730
small,10,6,0.9100,0.3675,0.3675,0.3689,0.3660,0.016364,0.002545
small,50,2,0.6600,0.4450,0.4450,0.4480,0.4421,0.055083,0.005511
small,50,4,0.8600,0.4325,0.4325,0.4422,0.4315,0.052402,0.006005
small,50,6,0.9500,0.4150,0.4150,0.4345,0.4161,0.052084,0.006999
small,100,2,0.6700,0.4925,0.4925,0.4818,0.4775,0.091711,0.009610
small,100,4,0.8100,0.4675,0.4675,0.4678,0.4661,0.090059,0.011173
small,100,6,0.9500,0.4325,0.4325,0.4388,0.4309,0.097640,0.011559
medium,5,2,0.5250,0.4450,0.4450,0.4577,0.4331,0.013028,0.002999
medium,5,4,0.6300,0.4600,0.4600,0.4614,0.4531,0.011543,0.002593
medium,5,6,0.7800,0.4725,0.4725,0.4753,0.4708,0.012072,0.002511
medium,10,2,0.5600,0.4750,0.4750,0.4708,0.4674,0.017005,0.001997
medium,10,4,0.6100,0.5000,0.5000,0.4964,0.4974,0.015564,0.002000
medium,10,6,0.8100,0.5000,0.5000,0.5011,0.4954,0.018022,0.003001
medium,50,2,0.5800,0.4675,0.4675,0.4520,0.4477,0.048776,0.005028
medium,50,4,0.6900,0.5025,0.5025,0.4966,0.4945,0.053485,0.007580
medium,50,6,0.8550,0.4825,0.4825,0.4781,0.4773,0.064603,0.007001
medium,100,2,0.6050,0.4975,0.4975,0.4954,0.4892,0.096687,0.009509
medium,100,4,0.6950,0.5050,0.5050,0.5036,0.4962,0.121258,0.011290
medium,100,6,0.8550,0.5175,0.5175,0.5149,0.5103,0.233273,0.011235
large,5,2,0.4750,0.4300,0.4300,0.4373,0.4211,0.040585,0.002004
large,5,4,0.6050,0.4725,0.4725,0.4677,0.4691,0.030095,0.002000
large,5,6,0.6750,0.4750,0.4750,0.4685,0.4669,0.019019,0.001997
large,10,2,0.5175,0.4800,0.4800,0.4693,0.4614,0.026563,0.003087
large,10,4,0.5975,0.4800,0.4800,0.4732,0.4735,0.031507,0.001998
large,10,6,0.7350,0.5125,0.5125,0.5098,0.5039,0.036593,0.003004
large,50,2,0.5600,0.5125,0.5125,0.5086,0.5029,0.063607,0.005509
large,50,4,0.6450,0.5450,0.5450,0.5441,0.5391,0.059726,0.006510
large,50,6,0.7675,0.5550,0.5550,0.5535,0.5499,0.070913,0.006508
large,100,2,0.5850,0.5175,0.5175,0.5123,0.5110,0.112359,0.010522
large,100,4,0.6350,0.5250,0.5250,0.5217,0.5192,0.106797,0.011512
large,100,6,0.7700,0.5275,0.5275,0.5241,0.5215,0.135434,0.012022
Very-Large,5,2,0.5110,0.4625,0.4625,0.4644,0.4527,0.026543,0.002001
Very-Large,5,4,0.5530,0.5400,0.5400,0.5454,0.5363,0.025102,0.002966
Very-Large,5,6,0.6125,0.5325,0.5325,0.5345,0.5303,0.025032,0.002000
Very-Large,10,2,0.5405,0.5100,0.5100,0.5103,0.5076,0.031315,0.003000
Very-Large,10,4,0.5800,0.5375,0.5375,0.5390,0.5336,0.032979,0.002090
Very-Large,10,6,0.6050,0.5450,0.5450,0.5433,0.5393,0.035079,0.002999
Very-Large,50,2,0.5410,0.5125,0.5125,0.5115,0.5099,0.070645,0.005516
Very-Large,50,4,0.5955,0.5625,0.5625,0.5625,0.5587,0.082085,0.005509
Very-Large,50,6,0.6360,0.5500,0.5500,0.5507,0.5489,0.083596,0.008273
Very-Large,100,2,0.5725,0.5450,0.5450,0.5417,0.5371,0.134702,0.011516
Very-Large,100,4,0.5900,0.5575,0.5575,0.5592,0.5548,0.151673,0.010512
Very-Large,100,6,0.6385,0.5575,0.5575,0.5549,0.5546,0.147172,0.012059
